"Time (EpSec)","x (km)","y (km)","z (km)"
2392,-3674.846677549,42003.689729014,0.000000000
2393,-3674.846677549,42003.689729014,0.000000000
2394,-3674.846677549,42003.689729014,0.000000000
2395,-3674.846677549,42003.689729014,0.000000000
2396,-3674.846677549,42003.689729014,0.000000000
2397,-3674.846677549,42003.689729014,0.000000000
2398,-3674.846677549,42003.689729014,0.000000000
2399,-3674.846677549,42003.689729014,0.000000000
2400,-3674.846677549,42003.689729014,0.000000000
2401,-3674.846677549,42003.689729014,0.000000000
2402,-3674.846677549,42003.689729014,0.000000000
2403,-3674.846677549,42003.689729014,0.000000000
2404,-3674.846677549,42003.689729014,0.000000000
2405,-3674.846677549,42003.689729014,0.000000000
2406,-3674.846677549,42003.689729014,0.000000000
2407,-3674.846677549,42003.689729014,0.000000000
2408,-3674.846677549,42003.689729014,0.000000000
2409,-3674.846677549,42003.689729014,0.000000000
2410,-3674.846677549,42003.689729014,0.000000000
2411,-3674.846677549,42003.689729014,0.000000000
2412,-3674.846677549,42003.689729014,0.000000000
2413,-3674.846677549,42003.689729014,0.000000000
2414,-3674.846677549,42003.689729014,0.000000000
2415,-3674.846677549,42003.689729014,0.000000000
2416,-3674.846677549,42003.689729014,0.000000000
2417,-3674.846677549,42003.689729014,0.000000000
2418,-3674.846677549,42003.689729014,0.000000000
2419,-3674.846677549,42003.689729014,0.000000000
2420,-3674.846677549,42003.689729014,0.000000000
2421,-3674.846677549,42003.689729014,0.000000000
2422,-3674.846677549,42003.689729014,0.000000000
2423,-3674.846677549,42003.689729014,0.000000000
2424,-3674.846677549,42003.689729014,0.000000000
2425,-3674.846677549,42003.689729014,0.000000000
2426,-3674.846677549,42003.689729014,0.000000000
2427,-3674.846677549,42003.689729014,0.000000000
2428,-3674.846677549,42003.689729014,0.000000000
2429,-3674.846677549,42003.689729014,0.000000000
2430,-3674.846677549,42003.689729014,0.000000000
2431,-3674.846677549,42003.689729014,0.000000000
2432,-3674.846677549,42003.689729014,0.000000000
2433,-3674.846677549,42003.689729014,0.000000000
2434,-3674.846677549,42003.689729014,0.000000000
2435,-3674.846677549,42003.689729014,0.000000000
2436,-3674.846677549,42003.689729014,0.000000000
2437,-3674.846677549,42003.689729014,0.000000000
2438,-3674.846677549,42003.689729014,0.000000000
2439,-3674.846677549,42003.689729014,0.000000000
2440,-3674.846677549,42003.689729014,0.000000000
2441,-3674.846677549,42003.689729014,0.000000000
2442,-3674.846677549,42003.689729014,0.000000000
2443,-3674.846677549,42003.689729014,0.000000000
2444,-3674.846677549,42003.689729014,0.000000000
2445,-3674.846677549,42003.689729014,0.000000000
2446,-3674.846677549,42003.689729014,0.000000000
2447,-3674.846677549,42003.689729014,0.000000000
2448,-3674.846677549,42003.689729014,0.000000000
2449,-3674.846677549,42003.689729014,0.000000000
2450,-3674.846677549,42003.689729014,0.000000000
2451,-3674.846677549,42003.689729014,0.000000000
2452,-3674.846677549,42003.689729014,0.000000000
2453,-3674.846677549,42003.689729014,0.000000000
2454,-3674.846677549,42003.689729014,0.000000000
2455,-3674.846677549,42003.689729014,0.000000000
2456,-3674.846677549,42003.689729014,0.000000000
2457,-3674.846677549,42003.689729014,0.000000000
2458,-3674.846677549,42003.689729014,0.000000000
2459,-3674.846677549,42003.689729014,0.000000000
2460,-3674.846677549,42003.689729014,0.000000000
2461,-3674.846677549,42003.689729014,0.000000000
2462,-3674.846677549,42003.689729014,0.000000000
2463,-3674.846677549,42003.689729014,0.000000000
2464,-3674.846677549,42003.689729014,0.000000000
2465,-3674.846677549,42003.689729014,0.000000000
2466,-3674.846677549,42003.689729014,0.000000000
2467,-3674.846677549,42003.689729014,0.000000000
2468,-3674.846677549,42003.689729014,0.000000000
2469,-3674.846677549,42003.689729014,0.000000000
2470,-3674.846677549,42003.689729014,0.000000000
2471,-3674.846677549,42003.689729014,0.000000000
2472,-3674.846677549,42003.689729014,0.000000000
2473,-3674.846677549,42003.689729014,0.000000000
2474,-3674.846677549,42003.689729014,0.000000000
2475,-3674.846677549,42003.689729014,0.000000000
2476,-3674.846677549,42003.689729014,0.000000000
2477,-3674.846677549,42003.689729014,0.000000000
2478,-3674.846677549,42003.689729014,0.000000000
2479,-3674.846677549,42003.689729014,0.000000000
2480,-3674.846677549,42003.689729014,0.000000000
2481,-3674.846677549,42003.689729014,0.000000000
2482,-3674.846677549,42003.689729014,0.000000000
2483,-3674.846677549,42003.689729014,0.000000000
2484,-3674.846677549,42003.689729014,0.000000000
2485,-3674.846677549,42003.689729014,0.000000000
2486,-3674.846677549,42003.689729014,0.000000000
2487,-3674.846677549,42003.689729014,0.000000000
2488,-3674.846677549,42003.689729014,0.000000000
2489,-3674.846677549,42003.689729014,0.000000000
2490,-3674.846677549,42003.689729014,0.000000000
2491,-3674.846677549,42003.689729014,0.000000000
2492,-3674.846677549,42003.689729014,0.000000000
2493,-3674.846677549,42003.689729014,0.000000000
2494,-3674.846677549,42003.689729014,0.000000000
2495,-3674.846677549,42003.689729014,0.000000000
2496,-3674.846677549,42003.689729014,0.000000000
2497,-3674.846677549,42003.689729014,0.000000000
2498,-3674.846677549,42003.689729014,0.000000000
2499,-3674.846677549,42003.689729014,0.000000000
2500,-3674.846677549,42003.689729014,0.000000000
2501,-3674.846677549,42003.689729014,0.000000000
2502,-3674.846677549,42003.689729014,0.000000000
2503,-3674.846677549,42003.689729014,0.000000000
2504,-3674.846677549,42003.689729014,0.000000000
2505,-3674.846677549,42003.689729014,0.000000000
2506,-3674.846677549,42003.689729014,0.000000000
2507,-3674.846677549,42003.689729014,0.000000000
2508,-3674.846677549,42003.689729014,0.000000000
2509,-3674.846677549,42003.689729014,0.000000000
2510,-3674.846677549,42003.689729014,0.000000000
2511,-3674.846677549,42003.689729014,0.000000000
2512,-3674.846677549,42003.689729014,0.000000000
2513,-3674.846677549,42003.689729014,0.000000000
2514,-3674.846677549,42003.689729014,0.000000000
2515,-3674.846677549,42003.689729014,0.000000000
2516,-3674.846677549,42003.689729014,0.000000000
2517,-3674.846677549,42003.689729014,0.000000000
2518,-3674.846677549,42003.689729014,0.000000000
2519,-3674.846677549,42003.689729014,0.000000000
2520,-3674.846677549,42003.689729014,0.000000000
2521,-3674.846677549,42003.689729014,0.000000000
2522,-3674.846677549,42003.689729014,0.000000000
2523,-3674.846677549,42003.689729014,0.000000000
2524,-3674.846677549,42003.689729014,0.000000000
2525,-3674.846677549,42003.689729014,0.000000000
2526,-3674.846677549,42003.689729014,0.000000000
2527,-3674.846677549,42003.689729014,0.000000000
2528,-3674.846677549,42003.689729014,0.000000000
2529,-3674.846677549,42003.689729014,0.000000000
2530,-3674.846677549,42003.689729014,0.000000000
2531,-3674.846677549,42003.689729014,0.000000000
2532,-3674.846677549,42003.689729014,0.000000000
2533,-3674.846677549,42003.689729014,0.000000000
2534,-3674.846677549,42003.689729014,0.000000000
2535,-3674.846677549,42003.689729014,0.000000000
2536,-3674.846677549,42003.689729014,0.000000000
2537,-3674.846677549,42003.689729014,0.000000000
2538,-3674.846677549,42003.689729014,0.000000000
2539,-3674.846677549,42003.689729014,0.000000000
2540,-3674.846677549,42003.689729014,0.000000000
